action,direction,floorIndex,riderNumAfter,time
1,1,3,11,1708.0051980705919
1,-1,9,2,1709.9110642305104
1,1,3,12,1712.774652115233
2,-1,13,0,1723.947454059361
2,-1,8,0,1724.527778047437
1,1,7,1,1735.0286911205408
1,-1,11,1,1740.4170465363825
2,-1,6,0,1745.527778047437
2,-1,11,0,1751.4170465363825
2,1,17,0,1758.1826923115702
1,1,3,13,1759.9111190625615
1,-1,14,1,1764.3676362257684
2,-1,9,0,1776.4170465363825
2,-1,3,0,1776.527778047437
2,-1,14,0,1780.1826923115702
2,-1,2,0,1787.527778047437
1,-1,4,1,1792.64121267448
1,-1,2,1,1797.3533859918018
1,-1,4,2,1806.0021428667924
2,1,7,0,1807.0286911205408
1,-1,15,1,1814.7264630465259
2,-1,4,0,1836.64121267448
1,-1,0,1,1842.0030169023225
1,1,7,1,1844.4113831170084
1,1,0,9,1846.3920547078862
2,-1,3,0,1847.64121267448
2,1,3,0,1853.3533859918018
1,-1,8,1,1860.957491054137
2,-1,2,0,1862.64121267448
2,1,4,0,1864.3533859918018
1,-1,10,1,1870.8927698684245
1,-1,3,1,1875.8998725746756
2,1,6,0,1885.3533859918018
2,-1,0,0,1885.64121267448
2,1,15,0,1892.0286911205408
2,-1,3,0,1892.1826923115702
2,1,7,0,1896.3533859918018
1,1,8,1,1896.5117471884441
1,1,1,4,1902.692940086451
1,1,9,1,1903.926067899263
2,1,8,0,1908.5117471884441
2,1,17,0,1913.0286911205408
1,1,6,1,1913.2560751905273
1,-1,3,1,1913.7361144603535
1,1,0,10,1913.9297545899087
2,1,9,0,1919.5117471884441
2,-1,0,0,1923.1826923115702
1,1,7,1,1944.3574365344934
2,-1,15,0,1946.0286911205408
1,-1,11,1,1949.4680113280444
1,-1,2,1,1958.3398804321446
2,1,6,0,1975.2560751905273
2,1,3,0,1978.3398804321446
2,1,15,0,1980.5117471884441
2,1,7,0,1988.2560751905273
2,-1,11,0,1991.4680113280444
2,1,16,0,1991.5117471884441
