boarding_time,cid,destination,leave_time,source,start_time,waiting_time,journey_time
980.6897708281425,93,12,991.6897708281425,11,952.7273385904318,27.962432237710686,38.962432237710686
935.6897708281425,61,13,1002.6897708281425,7,679.0694703113272,256.6203005168153,323.6203005168153
990.9010325739282,88,4,1002.9010325739282,3,930.9010325739282,60.0,72.0
1003.6897708281425,97,14,1015.6897708281425,13,977.6862068591793,26.00356396896325,38.00356396896325
935.6897708281425,89,14,1015.6897708281425,7,933.6350935830629,2.0546772450795743,82.05467724507957
1013.9010325739282,95,7,1041.9010325739282,5,959.5395053663883,54.36152720753989,82.3615272075399
1029.9383178113776,103,B4,1061.9383178113776,B1,1029.9383178113776,0.0,32.0
1013.9010325739282,90,9,1063.9010325739282,5,934.2719121719889,79.6291204019393,129.6291204019393
1030.255759722595,98,4,1083.255759722595,9,988.3342786376986,41.92148108489641,94.92148108489641
1052.9010325739282,104,11,1084.9010325739282,8,1035.0624513120513,17.838581261876925,49.838581261876925
1013.9010325739282,100,12,1095.9010325739282,5,1009.3947981652473,4.506234408680939,86.50623440868094
1013.9010325739282,94,12,1095.9010325739282,5,955.2709028603083,58.63012971361991,140.6301297136199
1097.9010325739282,102,13,1108.9010325739282,12,1024.9076548620146,72.99337771191358,83.99337771191358
1042.255759722595,101,1,1114.255759722595,8,1023.228947921927,19.026811800668042,91.02681180066804
1008.255759722595,99,1,1114.255759722595,11,995.8334596795926,12.422300043002451,118.42230004300245
996.255759722595,96,1,1114.255759722595,12,966.255759722595,30.0,148.0
1105.5869631921428,107,3,1127.5869631921428,1,1065.5869631921428,40.0,62.0
1127.255759722595,111,B3,1148.255759722595,B1,1109.2398494326965,18.015910289898557,39.01591028989856
1107.4666052574694,110,2,1159.4666052574694,7,1097.4666052574694,10.0,62.0
1055.0946814381277,106,1,1170.4666052574694,12,1055.0946814381277,0.0,115.37192381934165
1175.584853466588,122,B1,1186.584853466588,1,1175.584853466588,0.0,11.0
1149.5168876068344,118,6,1201.5168876068344,1,1139.5168876068344,10.0,62.0
1196.2803986503,123,13,1238.2803986503,9,1186.2803986503,10.0,52.0
1178.5869631921428,109,13,1238.2803986503,8,1090.1973613258392,88.38960186630356,148.08303732446075
1152.9072301424235,115,B1,1243.9072301424235,9,1122.9072301424235,30.0,121.0
1119.9010325739282,108,B1,1243.9072301424235,12,1072.847819429992,47.05321314393632,171.0594107124316
1231.7935832232088,125,11,1313.7935832232088,3,1201.7935832232088,30.0,112.0
1336.3339705913102,132,9,1357.3339705913102,7,1276.3339705913102,60.0,81.0
1348.7645321110074,137,2,1360.7645321110074,1,1338.7645321110074,10.0,22.0
1276.9884170972778,129,3,1364.337602936333,11,1260.874680152516,16.11373694476174,103.46292278381702
1332.337602936333,136,1,1385.337602936333,6,1318.9820043473528,13.355598588980229,66.35559858898023
1332.337602936333,131,B1,1397.337602936333,6,1265.9554513001954,66.38215163613768,131.38215163613768
1311.337602936333,133,B1,1397.337602936333,8,1281.337602936333,30.0,116.0
1361.7645321110074,141,6,1409.502721681918,2,1347.3257667273451,14.438765383662258,62.17695495457292
1354.7935832232088,124,2,1411.7935832232088,7,1198.8730405805477,155.92054264266108,212.92054264266108
1368.7935832232088,139,1,1423.7935832232088,6,1343.1850718240917,25.608511399117106,80.6085113991171
1354.7935832232088,140,1,1423.7935832232088,7,1344.5020385839482,10.291544639260565,79.29154463926056
1386.0103309182725,142,5,1428.0103309182725,9,1356.0103309182725,30.0,72.0
1386.337602936333,130,B4,1429.337602936333,1,1264.3551295825534,121.9824733537796,164.9824733537796
1264.9884170972778,127,B4,1429.337602936333,12,1254.9884170972778,10.0,174.34918583905528
1429.0103309182725,145,4,1447.0103309182725,5,1368.951417931501,60.058912986771475,78.05891298677147
1429.0103309182725,27,4,1447.0103309182725,5,296.0656230243925,1132.9447078938801,1150.9447078938801
1437.8387032214277,150,1,1458.8387032214277,3,1407.07072985637,30.767973365057742,51.76797336505774
1412.7935832232088,135,B4,1465.7935832232088,2,1316.9734021700897,95.82018105311909,148.8201810531191
1389.7935832232088,144,B4,1465.7935832232088,4,1365.7219677734688,24.071615449739966,100.07161544973997
1410.502721681918,147,13,1481.502721681918,6,1378.4423305066496,32.06039117526848,103.06039117526848
1429.0103309182725,67,B1,1489.0103309182725,5,704.5713106064816,724.439020311791,784.439020311791
