action,direction,floor,name,riderNumAfter,time
1,1.0,B3,a0,,1504.5070866264887
1,-1.0,5,a1,,1511.7535904393703
2,-1.0,5,a1,0.0,1512.7535904393703
1,1.0,13,a2,,1513.63562824793
1,1.0,B2,a0,,1514.5070866264887
1,1.0,6,a1,,1522.7535904393703
1,1.0,14,a2,,1523.63562824793
1,1.0,B1,a0,,1524.5070866264887
2,1.0,14,a2,0.0,1524.63562824793
2,1.0,B1,a0,1.0,1527.5070866264887
1,1.0,7,a1,,1532.7535904393703
2,1.0,7,a1,0.0,1532.7535904393703
2,-1.0,7,a1,1.0,1533.7535904393703
1,-1.0,13,a2,,1534.63562824793
1,1.0,1,a0,,1537.5070866264887
2,1.0,1,a0,2.0,1542.5070866264887
1,-1.0,6,a1,,1543.7535904393703
1,-1.0,12,a2,,1544.63562824793
2,-1.0,12,a2,1.0,1546.63562824793
1,1.0,2,a0,,1552.5070866264887
1,-1.0,5,a1,,1553.7535904393703
2,-1.0,5,a1,0.0,1554.7535904393703
1,-1.0,11,a2,,1556.63562824793
1,1.0,3,a0,,1562.5070866264887
2,1.0,3,a0,0.0,1564.5070866264887
1,1.0,6,a1,,1564.7535904393703
1,-1.0,10,a2,,1566.63562824793
2,-1.0,10,a2,0.0,1567.63562824793
0,,10,a2,,1567.63562824793
1,1.0,4,a0,,1574.5070866264887
1,1.0,7,a1,,1577.63562824793
1,1.0,5,a0,,1584.5070866264887
2,1.0,5,a0,0.0,1584.5070866264887
1,1.0,8,a1,,1587.63562824793
1,-1.0,4,a0,,1594.5070866264887
2,-1.0,4,a0,1.0,1595.5070866264887
1,1.0,9,a1,,1597.63562824793
1,-1.0,3,a0,,1605.5070866264887
1,1.0,10,a1,,1607.63562824793
2,1.0,10,a1,0.0,1607.63562824793
2,-1.0,10,a1,3.0,1611.63562824793
1,-1.0,2,a0,,1615.5070866264887
1,-1.0,9,a1,,1621.63562824793
1,-1.0,1,a0,,1625.5070866264887
2,-1.0,9,a1,1.0,1626.63562824793
1,-1.0,B1,a0,,1635.5070866264887
1,-1.0,8,a1,,1636.63562824793
2,-1.0,B1,a0,1.0,1638.5070866264887
2,-1.0,8,a1,1.0,1639.63562824793
1,1.0,11,a2,,1641.2424748587491
1,-1.0,B2,a0,,1648.5070866264887
1,-1.0,7,a1,,1649.63562824793
1,1.0,12,a2,,1651.2424748587491
2,1.0,12,a2,0.0,1651.2424748587491
2,-1.0,12,a2,1.0,1652.2424748587491
1,-1.0,B3,a0,,1658.5070866264887
1,-1.0,6,a1,,1659.63562824793
1,-1.0,11,a2,,1662.2424748587491
1,-1.0,B4,a0,,1668.5070866264887
1,-1.0,5,a1,,1669.63562824793
2,-1.0,5,a1,0.0,1670.63562824793
2,1.0,B4,a0,1.0,1671.5070866264887
1,-1.0,10,a2,,1672.2424748587491
2,-1.0,10,a2,0.0,1673.2424748587491
0,,10,a2,,1673.2424748587491
1,1.0,6,a1,,1680.63562824793
1,1.0,B3,a0,,1681.5070866264887
2,1.0,B3,a0,0.0,1682.5070866264887
1,1.0,7,a1,,1690.63562824793
1,1.0,B2,a0,,1692.5070866264887
2,1.0,7,a1,1.0,1692.63562824793
1,1.0,B1,a0,,1702.5070866264887
1,1.0,8,a1,,1702.63562824793
2,1.0,B1,a0,1.0,1703.5070866264887
1,1.0,9,a1,,1712.63562824793
1,1.0,1,a0,,1713.5070866264887
2,1.0,9,a1,1.0,1714.63562824793
1,1.0,2,a0,,1723.5070866264887
1,1.0,10,a1,,1724.63562824793
2,1.0,10,a1,0.0,1725.63562824793
2,-1.0,10,a1,1.0,1727.63562824793
1,1.0,3,a0,,1733.5070866264887
2,1.0,3,a0,1.0,1736.5070866264887
1,-1.0,9,a1,,1737.63562824793
1,1.0,4,a0,,1746.5070866264887
1,-1.0,8,a1,,1747.63562824793
2,1.0,4,a0,1.0,1748.5070866264887
1,1.0,11,a2,,1750.5315223279129
2,1.0,11,a2,0.0,1750.5315223279129
