elevIndex,direction,floorIndex,latterStatus,time
a3,1,1,0,4498.142727861393
a2,-1,10,0,4502.33832753812
a3,1,1,1,4504.142727861393
a3,1,1,0,4505.142727861393
a0,-1,18,0,4508.342220184047
a3,1,1,1,4511.142727861393
a3,1,1,0,4512.142727861393
a0,-1,14,1,4513.41867099874
a3,1,1,1,4518.142727861393
a2,-1,7,1,4518.825525464385
a3,1,1,0,4519.142727861393
a3,1,1,1,4525.142727861393
a2,-1,1,1,4525.862943647894
a3,1,1,0,4526.142727861393
a0,1,4,0,4528.342220184047
a0,-1,14,0,4528.342220184047
a0,-1,17,1,4529.342220184047
a0,1,1,1,4532.142727861393
a1,-1,10,1,4543.141400499083
a0,-1,17,0,4543.342220184047
a0,1,1,0,4545.342220184047
a0,1,4,1,4547.342220184047
a0,-1,15,1,4552.766118585235
a2,1,17,0,4558.862943647894
a2,-1,1,0,4558.862943647894
a1,1,8,0,4560.141400499083
a1,-1,10,0,4560.141400499083
a0,1,4,0,4561.342220184047
a2,-1,9,1,4562.862943647894
a2,-1,10,1,4562.862943647894
a1,-1,14,1,4563.141400499083
a1,-1,14,1,4563.141400499083
a0,-1,15,0,4569.342220184047
a0,-1,17,1,4570.342220184047
a1,1,7,1,4574.537512517343
a0,-1,14,1,4575.883898317318
a0,-1,17,0,4580.342220184047
a1,-1,14,0,4581.141400499083
a0,-1,14,1,4584.141400499083
a2,-1,7,0,4588.862943647894
a0,-1,17,1,4590.0954038479
a2,-1,10,1,4590.862943647894
a0,1,4,0,4595.342220184047
a0,-1,14,0,4595.342220184047
a1,1,7,0,4598.141400499083
a1,1,8,1,4599.141400499083
a0,-1,18,1,4599.342220184047
a0,-1,17,1,4599.342220184047
a2,-1,9,0,4600.862943647894
a2,-1,10,1,4602.862943647894
a1,1,8,0,4605.141400499083
a2,1,8,1,4607.141400499083
a2,-1,10,0,4608.862943647894
a2,1,8,0,4611.862943647894
a1,-1,10,1,4611.862943647894
a1,-1,10,0,4612.862943647894
a0,-1,17,0,4613.342220184047
a1,-1,13,1,4614.862943647894
a1,-1,14,1,4614.862943647894
a0,-1,18,1,4617.342220184047
a2,1,14,1,4618.862943647894
a2,1,9,1,4618.862943647894
a2,1,11,1,4618.862943647894
a2,1,16,1,4618.862943647894
a2,1,15,1,4618.862943647894
a0,-1,18,0,4623.342220184047
a2,1,9,0,4624.862943647894
a1,-1,10,1,4625.90743183311
a1,-1,10,1,4625.910467290014
a2,-1,0,1,4628.579303390196
a1,-1,13,0,4628.862943647894
a2,1,11,0,4635.862943647894
a1,-1,14,0,4635.862943647894
a1,-1,12,1,4646.438602965448
a2,1,14,0,4650.862943647894
a2,1,16,1,4652.862943647894
a1,1,8,0,4654.862943647894
a1,-1,10,0,4654.862943647894
a1,-1,14,1,4656.862943647894
a2,1,15,0,4658.862943647894
a1,-1,12,0,4666.862943647894
a2,1,16,0,4666.862943647894
a1,-1,14,1,4667.862943647894
a0,-1,17,1,4673.112800079781
a1,-1,12,1,4673.862943647894
a1,-1,14,0,4677.862943647894
a2,-1,4,1,4677.882543990212
a0,1,1,0,4678.112800079781
a0,-1,17,0,4678.112800079781
a2,1,18,0,4679.862943647894
a2,-1,0,0,4679.862943647894
a0,-1,18,1,4680.112800079781
a2,-1,10,1,4680.862943647894
a0,-1,18,0,4686.112800079781
a1,1,6,0,4688.862943647894
a1,-1,12,0,4688.862943647894
a0,1,3,1,4689.3464469396
a1,-1,14,1,4690.862943647894
a2,-1,4,0,4698.862943647894
a1,-1,12,1,4699.096266635961
a1,-1,14,0,4700.862943647894
a2,-1,10,1,4700.862943647894
a0,1,3,0,4702.3464469396
a2,-1,9,1,4705.241032558295
a0,1,4,1,4705.3464469396
a0,1,4,1,4705.3464469396
a0,1,4,0,4711.3464469396
a1,1,6,0,4712.862943647894
a1,-1,12,0,4712.862943647894
a1,-1,14,1,4713.862943647894
a0,-1,14,1,4722.959000628445
a1,-1,14,0,4723.862943647894
a0,-1,14,0,4723.959000628445
a2,-1,9,0,4726.241032558295
a0,-1,18,1,4727.959000628445
a0,-1,15,1,4727.959000628445
a0,-1,18,1,4727.959000628445
a2,-1,10,1,4728.241032558295
a0,-1,14,1,4730.732067924954
a0,-1,14,0,4731.732067924954
a0,-1,18,1,4733.732067924954
a2,-1,10,0,4734.241032558295
a1,-1,10,1,4735.241032558295
a0,-1,15,0,4739.732067924954
a1,1,8,0,4752.241032558295
a1,-1,10,0,4752.241032558295
a1,-1,14,1,4755.241032558295
a1,-1,14,1,4755.241032558295
a1,-1,14,1,4755.241032558295
a0,-1,18,0,4755.732067924954
a2,-1,1,1,4757.129248735129
a1,1,5,1,4767.0595515735085
a1,-1,14,0,4773.241032558295
a2,-1,7,1,4777.235416921297
a0,-1,14,1,4777.241032558295
a1,1,5,0,4783.241032558295
a1,1,8,1,4786.241032558295
a1,1,8,1,4786.241032558295
a2,1,14,1,4789.772867800463
a2,1,17,0,4794.129248735129
a2,-1,1,0,4794.129248735129
a0,1,4,0,4794.241032558295
a0,-1,14,0,4794.241032558295
a2,-1,7,1,4795.129248735129
a0,-1,15,1,4795.241032558295
a2,-1,2,1,4796.443789751042
a1,1,8,0,4800.241032558295
a0,-1,15,0,4801.241032558295
a2,-1,2,0,4801.443789751042
a2,-1,10,1,4803.443789751042
a2,-1,10,1,4803.443789751042
a0,-1,17,1,4808.685572639435
a0,-1,17,0,4817.685572639435
a0,-1,18,1,4818.685572639435
a0,-1,18,0,4824.685572639435
a2,-1,7,0,4825.443789751042
a2,-1,10,1,4827.443789751042
a1,-1,10,1,4832.790074706205
a1,-1,10,0,4833.790074706205
a1,-1,14,1,4835.790074706205
a0,1,0,1,4838.05300090887
a0,1,0,0,4839.05300090887
a2,-1,10,0,4841.443789751042
a1,-1,10,1,4843.443789751042
a0,1,4,1,4845.05300090887
a0,1,4,1,4845.05300090887
a0,1,4,1,4845.05300090887
a0,1,4,1,4845.05300090887
a1,1,6,1,4847.702031837866
a1,-1,14,0,4853.790074706205
a0,-1,14,1,4855.790074706205
a2,-1,0,1,4861.839193518349
a0,1,4,0,4863.05300090887
a0,-1,14,0,4865.05300090887
a1,1,6,0,4865.790074706205
a0,-1,15,1,4866.05300090887
a1,1,8,1,4867.790074706205
a2,1,14,0,4869.443789751042
a2,1,16,1,4870.443789751042
a0,-1,15,0,4872.05300090887
a3,1,1,1,4874.286050612766
a3,1,1,0,4875.286050612766
a1,1,8,0,4877.790074706205
a1,-1,10,0,4879.790074706205
a2,1,16,0,4880.443789751042
a3,1,1,1,4881.286050612766
a1,-1,14,1,4881.790074706205
a1,-1,14,1,4881.790074706205
a3,1,1,0,4882.286050612766
a3,1,1,1,4888.286050612766
a3,1,1,0,4889.286050612766
a1,1,4,1,4890.1379860031575
a2,1,18,0,4892.443789751042
a2,-1,0,0,4892.443789751042
a2,-1,10,1,4893.443789751042
a0,1,1,1,4895.286050612766
a1,-1,14,0,4899.790074706205
a1,1,4,0,4902.790074706205
a0,-1,14,1,4902.790074706205
a0,-1,17,0,4904.286050612766
a0,1,1,0,4904.286050612766
a0,1,4,1,4906.286050612766
a2,-1,9,1,4906.701507451538
a1,1,6,1,4913.790074706205
a1,1,8,1,4913.790074706205
a1,1,8,1,4913.790074706205
a1,1,5,1,4913.790074706205
a1,1,8,1,4913.790074706205
a1,1,8,1,4913.790074706205
a1,1,6,1,4913.790074706205
a1,1,8,1,4913.790074706205
a1,1,5,0,4919.790074706205
a0,1,4,0,4920.286050612766
a0,-1,14,0,4921.286050612766
a0,-1,18,1,4922.286050612766
a1,1,6,0,4927.790074706205
a2,-1,9,0,4931.701507451538
a2,-1,10,1,4932.701507451538
a2,-1,10,0,4938.701507451538
a0,-1,18,0,4940.286050612766
a1,1,8,0,4940.790074706205
a2,1,8,1,4943.790074706205
a2,1,8,0,4944.790074706205
a2,1,14,1,4955.790074706205
a2,1,11,1,4955.790074706205
a2,1,15,1,4955.790074706205
a2,1,18,1,4955.790074706205
a2,1,16,1,4955.790074706205
a2,1,14,1,4955.790074706205
a2,1,18,1,4955.790074706205
a2,1,11,0,4969.790074706205
a2,-1,2,1,4973.7297141069
a2,1,14,0,4984.790074706205
a2,1,15,0,4993.790074706205
a2,1,16,0,5000.790074706205
a2,1,18,0,5011.790074706205
a2,-1,9,1,5019.9311767025165
a2,-1,2,0,5024.790074706205
a2,-1,7,1,5026.790074706205
a2,-1,3,1,5034.217878289004
a2,-1,3,0,5035.217878289004
a2,-1,10,1,5038.217878289004
a2,-1,10,1,5038.217878289004
a1,-1,10,1,5051.218760276774
a1,-1,10,0,5052.218760276774
a1,-1,14,1,5054.218760276774
a2,-1,7,0,5056.217878289004
a2,-1,9,0,5068.217878289004
a2,-1,10,1,5069.217878289004
a1,-1,14,0,5072.218760276774
a2,-1,10,0,5075.217878289004
a1,-1,10,1,5076.217878289004
a1,-1,10,1,5078.5504596597975
a1,-1,10,1,5089.156495423719
a1,1,8,0,5093.217878289004
a1,-1,10,0,5093.217878289004
a1,-1,12,1,5099.217878289004
a1,-1,14,1,5099.217878289004
a1,-1,11,1,5099.217878289004
a1,-1,14,1,5099.217878289004
a1,-1,14,1,5099.217878289004
a1,-1,11,0,5105.217878289004
a1,-1,14,1,5108.217878289004
a1,-1,12,0,5114.217878289004
a1,-1,14,1,5116.217878289004
a2,1,8,1,5116.791465004724
a2,1,8,0,5117.791465004724
a1,-1,10,1,5119.311802923396
a2,1,9,1,5121.791465004724
a2,1,16,1,5121.791465004724
a1,-1,14,0,5126.217878289004
a2,1,9,0,5127.791465004724
a0,-1,14,1,5130.217878289004
a3,1,1,1,5136.923299223693
a3,1,1,0,5137.923299223693
a3,1,1,1,5143.923299223693
a3,1,1,0,5144.923299223693
a0,1,4,0,5147.217878289004
a0,-1,14,0,5147.217878289004
a1,1,8,0,5148.217878289004
a1,-1,10,0,5148.217878289004
a1,-1,14,1,5150.217878289004
a0,-1,18,1,5151.217878289004
a0,-1,17,1,5151.217878289004
a0,-1,18,1,5151.217878289004
a2,1,16,0,5158.791465004724
a0,-1,17,0,5165.217878289004
a1,-1,14,0,5168.217878289004
a0,-1,18,0,5172.217878289004
a0,1,4,1,5177.316764570642
a0,1,4,0,5194.316764570642
a0,-1,15,1,5215.309255988864
a0,-1,15,0,5220.309255988864
a0,-1,17,1,5222.309255988864
a1,1,4,1,5229.378222617779
a1,1,4,0,5230.378222617779
a0,-1,17,0,5232.309255988864
a1,1,8,1,5236.378222617779
a1,1,8,1,5236.378222617779
a1,1,8,1,5236.378222617779
a1,-1,10,1,5242.772169236946
a2,-1,3,1,5246.16723957511
a1,1,6,1,5246.375432225803
a1,1,6,0,5247.375432225803
a0,1,0,1,5248.301121292687
a1,1,8,1,5248.375432225803
a2,-1,3,0,5251.16723957511
a2,-1,10,1,5253.16723957511
a0,-1,18,0,5253.301121292687
a0,1,0,0,5253.301121292687
a0,1,4,1,5254.301121292687
a1,1,8,0,5258.375432225803
a2,-1,2,1,5259.845515252008
a1,-1,10,0,5261.375432225803
a2,1,8,1,5261.375432225803
a1,-1,14,1,5263.375432225803
a0,1,4,0,5272.301121292687
a1,1,4,1,5273.301121292687
a2,-1,1,1,5274.392114890322
a1,-1,14,0,5281.375432225803
a1,1,4,0,5282.375432225803
a0,-1,14,1,5282.375432225803
a2,-1,10,0,5283.16723957511
a0,-1,14,0,5283.375432225803
a1,1,8,1,5283.375432225803
a2,1,8,0,5284.16723957511
a0,-1,17,1,5284.375432225803
a2,1,11,1,5288.16723957511
a2,1,14,1,5288.16723957511
a2,1,11,1,5288.16723957511
a2,-1,0,1,5289.846666268049
a1,-1,11,1,5295.378037465165
a2,-1,8,1,5297.795922141824
a0,-1,17,0,5298.375432225803
a1,1,8,0,5301.375432225803
a2,1,11,0,5302.16723957511
a1,-1,11,0,5308.375432225803
a1,-1,14,1,5309.375432225803
a1,1,4,1,5316.1120964317615
a0,-1,14,1,5316.360118176493
a2,1,14,0,5318.16723957511
a1,-1,14,0,5323.375432225803
a1,1,4,0,5324.375432225803
a0,-1,14,1,5324.375432225803
a1,1,8,1,5325.375432225803
