,location,sep_floor,dataType,data
213,研究大樓,odd-even-division,count_stop,19.0
214,研究大樓,odd-even-division,count_wasted,16.0
215,研究大樓,odd-even-division,waiting_time,3029.7935997772624
216,研究大樓,odd-even-division,journey_time,1721.2703444089707
217,研究大樓,odd-even-division,count_floor,628.0
218,研究大樓,odd-even-division,count_stop,75.0
219,研究大樓,odd-even-division,count_wasted,76.0
220,研究大樓,odd-even-division,waiting_time,2291.8490547101296
221,研究大樓,odd-even-division,journey_time,1190.0210761029311
222,研究大樓,odd-even-division,count_floor,824.0
223,研究大樓,odd-even-division,count_stop,74.0
224,研究大樓,odd-even-division,count_wasted,91.0
225,研究大樓,odd-even-division,waiting_time,2486.142812072781
226,研究大樓,odd-even-division,journey_time,1604.0356034365036
227,研究大樓,odd-even-division,count_floor,743.0
228,研究大樓,odd-even-division,count_stop,117.0
229,研究大樓,odd-even-division,count_wasted,115.0
230,研究大樓,odd-even-division,waiting_time,7035.025302597843
231,研究大樓,odd-even-division,journey_time,2555.5321725634813
232,研究大樓,odd-even-division,count_floor,685.0
233,研究大樓,odd-even-division,count_stop,109.0
234,研究大樓,odd-even-division,count_wasted,105.0
235,研究大樓,odd-even-division,waiting_time,3419.48964273064
236,研究大樓,odd-even-division,journey_time,491.8897619202298
237,研究大樓,odd-even-division,count_floor,682.0
238,研究大樓,odd-even-division,count_stop,86.0
239,研究大樓,odd-even-division,count_wasted,99.0
240,研究大樓,odd-even-division,waiting_time,2475.8314298878877
241,研究大樓,odd-even-division,journey_time,1275.9342378059187
242,研究大樓,odd-even-division,count_floor,570.0
243,研究大樓,odd-even-division,count_stop,29.0
244,研究大樓,odd-even-division,count_wasted,24.0
245,研究大樓,odd-even-division,waiting_time,1855.6267812774965
246,研究大樓,odd-even-division,journey_time,1205.4809695894216
247,研究大樓,odd-even-division,count_floor,562.0
248,研究大樓,odd-even-division,count_stop,26.0
249,研究大樓,odd-even-division,count_wasted,15.0
250,研究大樓,odd-even-division,waiting_time,5044.503644970732
251,研究大樓,odd-even-division,journey_time,1960.479238437483
252,研究大樓,odd-even-division,count_floor,467.0
253,研究大樓,odd-even-division,count_stop,36.0
254,研究大樓,odd-even-division,count_wasted,35.0
255,研究大樓,odd-even-division,waiting_time,3471.3555385304503
256,研究大樓,odd-even-division,journey_time,1004.1184909564133
257,研究大樓,odd-even-division,count_floor,560.0
258,研究大樓,odd-even-division,count_stop,52.0
259,研究大樓,odd-even-division,count_wasted,63.0
260,研究大樓,odd-even-division,waiting_time,2984.7881569412093
261,研究大樓,odd-even-division,journey_time,1223.95926454296
262,研究大樓,odd-even-division,count_floor,755.0
263,研究大樓,odd-even-division,count_stop,54.0
264,研究大樓,odd-even-division,count_wasted,59.0
265,研究大樓,odd-even-division,waiting_time,4369.692976900525
266,研究大樓,odd-even-division,journey_time,2533.158861869494
267,研究大樓,odd-even-division,count_floor,446.0
268,研究大樓,odd-even-division,count_stop,35.0
269,研究大樓,odd-even-division,count_wasted,27.0
270,研究大樓,odd-even-division,waiting_time,2212.0943776312847
271,研究大樓,odd-even-division,journey_time,1573.7979668035746
272,研究大樓,odd-even-division,count_floor,775.0
273,研究大樓,odd-even-division,count_stop,46.0
274,研究大樓,odd-even-division,count_wasted,54.0
275,研究大樓,odd-even-division,waiting_time,10252.343785073608
276,研究大樓,odd-even-division,journey_time,5410.9145481078085
277,研究大樓,odd-even-division,count_floor,764.0
278,研究大樓,odd-even-division,count_stop,11.0
279,研究大樓,odd-even-division,count_wasted,104.0
280,研究大樓,odd-even-division,waiting_time,1956.8840056695653
281,研究大樓,odd-even-division,journey_time,1136.4092846996007
282,研究大樓,odd-even-division,count_floor,922.0
283,研究大樓,odd-even-division,count_stop,55.0
284,研究大樓,odd-even-division,count_wasted,67.0
285,研究大樓,odd-even-division,waiting_time,1761.4571339557156
286,研究大樓,odd-even-division,journey_time,1139.5094284673414
287,研究大樓,odd-even-division,count_floor,758.0
288,研究大樓,odd-even-division,count_stop,99.0
289,研究大樓,odd-even-division,count_wasted,103.0
290,研究大樓,odd-even-division,waiting_time,3893.0117467623772
291,研究大樓,odd-even-division,journey_time,1340.8627577740085
292,研究大樓,odd-even-division,count_floor,619.0
293,研究大樓,odd-even-division,count_stop,104.0
294,研究大樓,odd-even-division,count_wasted,106.0
295,研究大樓,odd-even-division,waiting_time,2622.066040999849
296,研究大樓,odd-even-division,journey_time,1105.0574314748458
297,研究大樓,odd-even-division,count_floor,647.0
298,研究大樓,odd-even-division,count_stop,99.0
299,研究大樓,odd-even-division,count_wasted,90.0
300,研究大樓,odd-even-division,waiting_time,2570.7373895287947
301,研究大樓,odd-even-division,journey_time,1208.7493430468862
302,研究大樓,odd-even-division,count_floor,482.0
303,研究大樓,odd-even-division,count_stop,36.0
304,研究大樓,odd-even-division,count_wasted,24.0
305,研究大樓,odd-even-division,waiting_time,2417.0568181950307
306,研究大樓,odd-even-division,journey_time,1026.5113295723604
307,研究大樓,odd-even-division,count_floor,601.0
308,研究大樓,odd-even-division,count_stop,34.0
309,研究大樓,odd-even-division,count_wasted,30.0
310,研究大樓,odd-even-division,waiting_time,2784.0511992781812
311,研究大樓,odd-even-division,journey_time,837.1428394579199
312,研究大樓,odd-even-division,count_floor,632.0
313,研究大樓,odd-even-division,count_stop,118.0
314,研究大樓,odd-even-division,count_wasted,104.0
315,研究大樓,odd-even-division,waiting_time,3454.3314509617867
316,研究大樓,odd-even-division,journey_time,667.4076954095892
317,研究大樓,odd-even-division,count_floor,437.0
318,研究大樓,odd-even-division,count_stop,48.0
319,研究大樓,odd-even-division,count_wasted,37.0
320,研究大樓,odd-even-division,waiting_time,2138.6592873382183
321,研究大樓,odd-even-division,journey_time,2094.6356900771293
322,研究大樓,odd-even-division,count_floor,661.0
323,研究大樓,odd-even-division,count_stop,62.0
324,研究大樓,odd-even-division,count_wasted,77.0
325,研究大樓,odd-even-division,waiting_time,2537.239644132949
