action,riderNumAfter,floorIndex,direction,time
1,1,7,1,1183.9597596864123
2,0,11,1,1187.0003735500175
1,2,8,1,1187.0874870873772
2,0,7,-1,1195.0874870873772
2,0,13,1,1198.0003735500175
1,4,18,-1,1200.9147205391976
1,0,18,1,1200.9147205391976
1,0,3,-1,1201.3834717651844
1,1,3,1,1201.3834717651844
2,0,16,1,1203.0003735500175
1,1,9,-1,1210.417612251591
1,0,9,1,1210.417612251591
2,0,17,1,1211.0003735500175
1,1,4,-1,1211.0874870873772
2,0,3,1,1211.3834717651844
1,1,16,-1,1214.8561593963861
1,0,16,1,1214.8561593963861
1,1,4,1,1218.3834717651844
1,2,11,-1,1219.648033779982
1,0,11,1,1219.648033779982
2,0,4,1,1220.3834717651844
2,0,6,1,1231.3834717651844
2,0,15,-1,1237.0003735500175
1,2,9,-1,1244.3947104508059
1,0,9,1,1244.3947104508059
1,7,14,-1,1251.117659402761
1,0,14,1,1251.117659402761
1,0,1,-1,1259.2164497328604
1,1,1,1,1259.2164497328604
2,1,1,1,1260.2164497328604
1,1,8,-1,1268.0003735500175
2,0,8,1,1271.0003735500175
2,0,8,-1,1279.0003735500175
2,0,9,1,1279.0003735500175
2,0,1,-1,1279.2164497328604
2,0,1,1,1281.2164497328604
1,1,4,-1,1287.8046974604144
1,1,4,1,1287.8046974604144
1,2,4,1,1296.2164497328604
1,2,4,-1,1298.0003735500175
2,0,4,-1,1303.0003735500175
1,1,16,-1,1303.8962266952901
1,1,16,1,1303.8962266952901
2,0,3,-1,1311.0003735500175
1,1,10,-1,1334.4825337361312
1,0,10,1,1334.4825337361312
1,1,7,-1,1341.1729922917357
1,1,7,1,1341.1729922917357
2,0,7,1,1355.1729922917357
1,1,8,1,1363.1729922917357
1,0,0,-1,1366.2148813977424
1,7,0,1,1366.2148813977424
1,8,14,-1,1369.3337107782597
1,0,14,1,1369.3337107782597
2,0,7,-1,1371.1729922917357
1,0,6,-1,1374.5018086603657
1,1,6,1,1374.5018086603657
1,0,3,-1,1377.8360179388333
1,1,3,1,1377.8360179388333
1,1,6,-1,1379.376889726121
1,1,6,1,1379.376889726121
2,0,6,-1,1381.376889726121
1,0,3,-1,1389.7901663461894
1,2,3,1,1389.7901663461894
1,4,17,-1,1392.883333414144
1,0,17,1,1392.883333414144
1,2,4,-1,1393.376889726121
2,0,3,1,1394.8360179388333
1,1,13,-1,1399.7709437656797
1,0,13,1,1399.7709437656797
2,0,6,1,1404.376889726121
1,3,4,1,1404.8360179388333
1,1,5,-1,1405.6489098261513
1,1,5,1,1405.6489098261513
2,0,8,1,1406.1729922917357
1,1,8,-1,1412.074233534784
1,0,8,1,1412.074233534784
1,2,10,-1,1413.8956444462638
1,0,10,1,1413.8956444462638
2,0,10,1,1417.1729922917357
2,0,8,-1,1418.376889726121
1,0,3,-1,1427.3464399017712
1,1,3,1,1427.3464399017712
1,2,16,-1,1428.0028089428708
1,1,16,1,1428.0028089428708
2,0,3,-1,1432.3464399017712
2,0,3,1,1433.3464399017712
1,3,4,-1,1438.376889726121
1,4,4,1,1441.3464399017712
2,0,4,1,1448.3464399017712
2,0,6,1,1460.3464399017712
2,0,7,1,1467.3464399017712
1,1,8,1,1476.3464399017712
2,0,8,1,1486.3464399017712
1,4,4,-1,1490.3907605601366
1,0,4,1,1490.3907605601366
1,0,0,-1,1490.8955703765466
1,8,0,1,1490.8955703765466
1,4,12,-1,1525.502077644189
1,1,12,1,1525.502077644189
2,0,17,1,1526.3464399017712
1,4,4,-1,1548.5360322540648
1,1,4,1,1548.5360322540648
1,1,5,-1,1549.314429326815
1,2,5,1,1549.314429326815
1,0,3,-1,1572.8177893343159
1,1,3,1,1572.8177893343159
1,1,6,-1,1582.054505150025
1,0,6,1,1582.054505150025
1,9,14,-1,1583.951734334691
1,0,14,1,1583.951734334691
2,0,6,-1,1593.054505150025
1,5,4,-1,1604.054505150025
1,10,14,-1,1606.3390755884388
1,0,14,1,1606.3390755884388
1,3,11,-1,1612.6936745471223
1,0,11,1,1612.6936745471223
1,0,1,-1,1637.8408824967873
1,1,1,1,1637.8408824967873
1,3,10,-1,1638.4600107098531
1,0,10,1,1638.4600107098531
1,0,6,-1,1656.7646218910531
1,1,6,1,1656.7646218910531
1,5,12,-1,1658.0684303394937
1,1,12,1,1658.0684303394937
1,0,15,-1,1662.6098797065902
1,1,15,1,1662.6098797065902
2,0,6,1,1667.7646218910531
1,5,18,-1,1671.3147223967399
1,0,18,1,1671.3147223967399
2,0,15,-1,1671.6098797065902
2,0,15,1,1673.6098797065902
1,1,8,1,1678.7646218910531
1,1,7,-1,1681.658863884571
1,0,7,1,1681.658863884571
2,0,16,1,1683.6098797065902
2,0,7,-1,1687.658863884571
1,0,0,-1,1687.979121701682
1,9,0,1,1687.979121701682
2,0,17,1,1690.6098797065902
1,6,4,-1,1702.658863884571
1,1,8,-1,1707.9599106104147
1,1,8,1,1707.9599106104147
1,4,10,-1,1710.72829461827
1,0,10,1,1710.72829461827
2,0,4,-1,1711.658863884571
1,2,13,-1,1714.338087914044
1,0,13,1,1714.338087914044
2,0,3,-1,1720.658863884571
2,0,8,-1,1726.9599106104147
2,0,5,-1,1743.9599106104147
1,1,4,-1,1750.9599106104147
1,1,8,-1,1753.7543817360756
1,1,8,1,1753.7543817360756
2,0,4,-1,1769.9599106104147
1,0,4,-1,1787.7647912181912
1,2,4,1,1787.7647912181912
2,0,4,1,1792.7647912181912
1,11,14,-1,1808.2653013567813
1,0,14,1,1808.2653013567813
