name,action,floor,time,direction,riderNumAfter
a2,1,10,2116.6649491552066,-1.0,
a0,1,B3,2117.198480456307,1.0,
a2,1,9,2120.6649491552066,-1.0,
a0,1,B2,2121.198480456307,1.0,
a2,1,8,2124.6649491552066,-1.0,
a0,1,B1,2125.198480456307,1.0,
a2,1,7,2128.6649491552066,-1.0,
a0,1,1,2129.198480456307,1.0,
a0,2,1,2131.198480456307,-1.0,1.0
a2,1,6,2132.6649491552066,-1.0,
a0,1,B1,2136.198480456307,-1.0,
a2,1,5,2136.6649491552066,-1.0,
a0,2,B1,2139.198480456307,-1.0,0.0
a2,2,5,2139.6649491552066,1.0,1.0
a0,0,B1,2140.198480456307,,
a2,1,6,2144.6649491552066,1.0,
a2,1,7,2148.6649491552066,1.0,
a2,1,8,2152.6649491552066,1.0,
a2,1,9,2156.6649491552066,1.0,
a2,1,10,2160.6649491552066,1.0,
a2,1,11,2164.6649491552066,1.0,
a2,1,12,2168.6649491552066,1.0,
a2,2,12,2170.6649491552066,1.0,0.0
a2,0,12,2171.6649491552066,,
a1,1,4,2224.4949577715424,-1.0,
a1,1,3,2228.4949577715424,-1.0,
a1,1,2,2232.4949577715424,-1.0,
a1,2,2,2233.4949577715424,-1.0,0.0
a1,2,2,2237.4949577715424,1.0,3.0
a1,1,3,2242.4949577715424,1.0,
a1,1,4,2246.4949577715424,1.0,
a1,1,5,2250.4949577715424,1.0,
a2,1,11,2256.4949577715424,-1.0,
a1,1,4,2257.4949577715424,-1.0,
a2,1,10,2260.4949577715424,-1.0,
a1,1,3,2261.4949577715424,-1.0,
a2,1,9,2264.4949577715424,-1.0,
a1,1,2,2265.4949577715424,-1.0,
a1,2,2,2267.4949577715424,-1.0,1.0
a2,1,8,2268.4949577715424,-1.0,
a2,1,7,2272.4949577715424,-1.0,
a1,1,1,2272.4949577715424,-1.0,
a2,1,6,2276.4949577715424,-1.0,
a1,2,1,2277.4949577715424,1.0,1.0
a0,1,1,2279.4949577715424,1.0,
a2,1,5,2280.4949577715424,-1.0,
a0,2,1,2281.4949577715424,-1.0,1.0
a1,1,2,2282.4949577715424,1.0,
a2,2,5,2285.4949577715424,1.0,3.0
a1,1,3,2286.4949577715424,1.0,
a0,1,B1,2286.4949577715424,-1.0,
a1,1,4,2290.4949577715424,1.0,
a0,1,B2,2290.4949577715424,-1.0,
a2,1,6,2290.4949577715424,1.0,
a1,1,5,2294.4949577715424,1.0,
a0,1,B3,2294.4949577715424,-1.0,
a2,1,7,2294.4949577715424,1.0,
a0,2,B3,2297.4949577715424,-1.0,0.0
a1,0,5,2297.4949577715424,,
a2,1,8,2298.4949577715424,1.0,
a0,0,B3,2298.4949577715424,,
a2,2,8,2301.4949577715424,1.0,2.0
a4,1,10,2305.4949577715424,-1.0,
a2,1,9,2306.4949577715424,1.0,
a4,1,9,2309.4949577715424,-1.0,
a2,1,10,2310.4949577715424,1.0,
a4,1,8,2313.4949577715424,-1.0,
a2,1,11,2314.4949577715424,1.0,
a4,2,8,2315.4949577715424,1.0,1.0
a2,1,12,2318.4949577715424,1.0,
a4,1,9,2320.4949577715424,1.0,
a2,2,12,2321.4949577715424,1.0,1.0
a4,1,10,2324.4949577715424,1.0,
a2,1,13,2326.4949577715424,1.0,
a4,2,10,2327.4949577715424,1.0,0.0
a2,2,13,2328.4949577715424,1.0,0.0
a4,0,10,2328.4949577715424,,
a2,1,12,2333.4949577715424,-1.0,
a2,1,11,2337.4949577715424,-1.0,
a2,1,10,2341.4949577715424,-1.0,
a2,1,9,2345.4949577715424,-1.0,
a2,1,8,2349.4949577715424,-1.0,
a1,2,5,2352.2590202421416,-1.0,2.0
a2,1,7,2353.4949577715424,-1.0,
a1,1,4,2357.2590202421416,-1.0,
a2,1,6,2357.4949577715424,-1.0,
a1,1,3,2361.2590202421416,-1.0,
a2,1,5,2361.4949577715424,-1.0,
a2,2,5,2363.4949577715424,1.0,1.0
a1,1,2,2365.2590202421416,-1.0,
a2,1,6,2368.4949577715424,1.0,
a1,1,1,2369.2590202421416,-1.0,
a2,1,7,2372.4949577715424,1.0,
a1,0,1,2373.2590202421416,,
a0,1,B2,2376.2590202421416,1.0,
a2,1,8,2376.4949577715424,1.0,
a2,2,8,2378.4949577715424,1.0,0.0
a2,0,8,2379.4949577715424,,
a0,1,B1,2380.2590202421416,1.0,
a4,1,9,2382.4949577715424,-1.0,
a0,1,1,2384.2590202421416,1.0,
a4,1,8,2386.4949577715424,-1.0,
a0,2,1,2389.2590202421416,-1.0,2.0
a4,2,8,2389.4949577715424,1.0,1.0
a1,1,2,2391.4644112304923,1.0,
a0,1,B1,2394.2590202421416,-1.0,
a4,1,9,2394.4949577715424,1.0,
a1,1,3,2395.4644112304923,1.0,
a0,2,B1,2396.2590202421416,-1.0,1.0
a2,2,8,2397.9271935140223,-1.0,5.0
a4,2,9,2398.4949577715424,1.0,1.0
a1,1,4,2399.4644112304923,1.0,
a1,2,4,2400.4644112304923,1.0,0.0
a0,1,B2,2401.2590202421416,-1.0,
a1,2,4,2401.4644112304923,-1.0,1.0
a2,1,7,2402.9271935140223,-1.0,
a4,1,10,2403.4949577715424,1.0,
a0,1,B3,2405.2590202421416,-1.0,
a1,1,3,2406.4644112304923,-1.0,
a4,1,11,2407.4949577715424,1.0,
a0,1,B4,2409.2590202421416,-1.0,
a1,1,2,2410.4644112304923,-1.0,
a4,0,11,2410.4949577715424,,
a0,0,B4,2412.2590202421416,,
a1,1,1,2414.4644112304923,-1.0,
a2,2,7,2415.9271935140223,-1.0,10.0
a1,2,1,2420.4644112304923,1.0,2.0
a2,1,6,2420.9271935140223,-1.0,
a1,1,2,2425.4644112304923,1.0,
a2,2,6,2428.9271935140223,-1.0,13.0
a1,1,3,2429.4644112304923,1.0,
a1,1,4,2433.4644112304923,1.0,
a2,1,5,2433.9271935140223,-1.0,
a1,1,5,2437.4644112304923,1.0,
a2,0,5,2438.9271935140223,,
a1,0,5,2440.4644112304923,,
a2,1,6,2500.162826452095,1.0,
a2,2,6,2501.162826452095,1.0,0.0
a2,2,6,2502.162826452095,-1.0,1.0
a2,1,5,2507.162826452095,-1.0,
a2,0,5,2511.162826452095,,
a1,2,5,2532.162826452095,-1.0,13.0
a1,1,4,2537.162826452095,-1.0,
a1,1,3,2541.162826452095,-1.0,
a1,2,3,2545.162826452095,-1.0,12.0
a1,1,2,2550.162826452095,-1.0,
a1,1,1,2554.162826452095,-1.0,
a1,0,1,2565.162826452095,,
a0,1,B3,2568.162826452095,1.0,
a1,1,2,2572.1010620683423,1.0,
a0,1,B2,2572.162826452095,1.0,
a1,1,3,2576.1010620683423,1.0,
a0,1,B1,2576.162826452095,1.0,
a1,1,4,2580.1010620683423,1.0,
a0,1,1,2580.162826452095,1.0,
a1,2,4,2583.1010620683423,1.0,1.0
a1,1,5,2588.1010620683423,1.0,
a1,0,5,2592.1010620683423,,
a0,2,1,2593.162826452095,-1.0,7.0
a0,1,B1,2598.162826452095,-1.0,
a2,2,5,2602.1010620683423,1.0,6.0
a0,2,B1,2606.162826452095,-1.0,2.0
a2,1,6,2607.1010620683423,1.0,
a2,2,6,2610.1010620683423,1.0,5.0
a0,1,B2,2611.162826452095,-1.0,
a2,1,7,2615.1010620683423,1.0,
a0,1,B3,2615.162826452095,-1.0,
a2,2,7,2618.1010620683423,1.0,4.0
a0,1,B4,2619.162826452095,-1.0,
a2,1,8,2623.1010620683423,1.0,
a0,0,B4,2624.162826452095,,
a2,2,8,2629.1010620683423,1.0,4.0
a2,1,9,2634.1010620683423,1.0,
a2,1,10,2638.1010620683423,1.0,
a4,1,10,2639.1010620683423,-1.0,
a2,1,11,2642.1010620683423,1.0,
a4,1,9,2643.1010620683423,-1.0,
a0,1,B3,2643.914592359722,1.0,
a2,2,11,2644.1010620683423,1.0,3.0
a4,1,8,2647.1010620683423,-1.0,
a0,1,B2,2647.914592359722,1.0,
a2,1,12,2649.1010620683423,1.0,
a4,2,8,2650.1010620683423,1.0,1.0
a0,1,B1,2651.914592359722,1.0,
a2,2,12,2653.1010620683423,1.0,3.0
a4,1,9,2655.1010620683423,1.0,
a0,2,B1,2657.914592359722,1.0,5.0
a2,1,13,2658.1010620683423,1.0,
a4,2,9,2659.1010620683423,1.0,1.0
a2,2,13,2661.1010620683423,1.0,2.0
a0,1,1,2662.914592359722,1.0,
