cid,pass_by,appear_time,destination,boarding_time,get_off_time,total_waiting_time,time_in_elev,journey_time,transfer_num,isSuccessful
83,"['B3', 'B4']",969.9055433943222,B4,[983.9055433943222],[989.9055433943222],14.0,6.0,20.0,0,True
84,['1'],989.5780838033628,B4,,,2610.421916196637,,,0,False
85,"['2', '5']",1021.5950339036822,5,[1341.5271084680319],[1355.5271084680319],319.9320745643497,14.0,333.9320745643497,0,True
86,"['13', '14']",1048.0003735500175,14,[1057.0003735500175],[1063.0003735500175],9.0,6.0,15.0,0,True
87,"['9', '7']",1073.2442318629583,1,[2098.6768336856644],[2113.6768336856644],2511.7557681370417,15.0,2526.7557681370417,1,False
88,['1'],1080.9986230538593,11,,,2519.0013769461407,,,0,False
89,"['B1', '1']",1087.5448788582084,7,[1102.5448788582084],[1108.5448788582084],2506.4551211417916,6.0,2512.4551211417916,1,False
90,"['5', '3']",1098.127575433989,3,[1108.127575433989],[1118.127575433989],10.0,10.0,20.0,0,True
91,"['14', '13']",1117.2963409521656,13,[2605.0224077758967],[2614.0224077758967],1487.7260668237311,9.0,1496.7260668237311,0,True
92,"['4', '7', '12']",1146.5366519365214,12,"[1153.5366519365214, 1199.5366519365214]","[1167.5366519365214, 1227.5366519365214]",39.0,42.0,81.0,1,True
93,"['11', '7']",1183.6581898844136,B1,[3171.6513196899314],[3208.6513196899314],2379.3418101155867,37.0,2416.3418101155867,1,False
94,['1'],1186.8355990989032,3,,,2413.164400901097,,,0,False
95,"['7', '9']",1188.9335089576464,9,[1201.5366519365214],[1211.5366519365214],12.603142978874985,10.0,22.603142978874985,0,True
96,"['6', '7']",1199.6801550195598,9,[1205.6801550195598],[1211.6801550195598],2394.3198449804404,6.0,2400.3198449804404,1,False
97,"['9', '7']",1210.9248739016111,6,[2099.6768336856644],[2113.6768336856644],2375.075126098389,14.0,2389.075126098389,1,False
98,"['13', '7']",1214.8561593963861,1,[1257.5366519365214],[1287.5366519365214],2355.1438406036136,30.0,2385.1438406036136,1,False
99,"['15', '7']",1218.4579381118633,B1,[1245.5366519365214],[1287.5366519365214],2339.5420618881362,42.0,2381.5420618881362,1,False
100,"['4', '1']",1226.6357216196495,1,[1241.6357216196495],[1255.6357216196495],15.0,14.0,29.0,0,True
101,['7'],1228.796624312496,6,,,2371.203375687504,,,0,False
102,"['6', '2']",1241.587363599035,2,[3525.95006135831],[3595.95006135831],2284.362697759275,70.0,2354.362697759275,0,True
